image_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,make,make_id,class_name,class_id
00001.jpg,39,116,569,375,Audi,0,Audi TTS Coupe 2012,14
00002.jpg,36,116,868,587,Acura,1,Acura TL Sedan 2012,3
00003.jpg,85,109,601,381,Dodge,2,Dodge Dakota Club Cab 2007,91
00004.jpg,621,393,1484,1096,Hyundai,3,Hyundai Sonata Hybrid Sedan 2012,134
00005.jpg,14,36,133,99,Ford,4,Ford F-450 Super Duty Crew Cab 2012,106
00006.jpg,259,289,515,416,Geo,5,Geo Metro Convertible 1993,123
00007.jpg,88,80,541,397,Dodge,2,Dodge Journey SUV 2012,89
00008.jpg,73,79,591,410,Dodge,2,Dodge Charger Sedan 2012,96
00009.jpg,20,126,1269,771,Mitsubishi,6,Mitsubishi Lancer Sedan 2012,167
00010.jpg,21,110,623,367,Chevrolet,7,Chevrolet Traverse SUV 2012,58
00011.jpg,51,93,601,393,Buick,8,Buick Verano Sedan 2012,49
00012.jpg,6,62,499,286,Toyota,9,Toyota Sequoia SUV 2012,186
00013.jpg,30,36,418,307,Hyundai,3,Hyundai Elantra Sedan 2007,135
00014.jpg,31,246,778,540,Dodge,2,Dodge Caravan Minivan 1997,85
00015.jpg,32,77,589,379,Volvo,10,Volvo C30 Hatchback 2012,193
00016.jpg,27,49,611,396,Plymouth,11,Plymouth Neon Coupe 1999,172
00017.jpg,39,52,233,150,Audi,0,Audi TTS Coupe 2012,14
00018.jpg,3,8,190,147,Chevrolet,7,Chevrolet Malibu Sedan 2007,73
00019.jpg,247,287,1366,761,Volkswagen,12,Volkswagen Beetle Hatchback 2012,192
00020.jpg,17,281,961,596,Chevrolet,7,Chevrolet Corvette Ron Fellows Edition Z06 2007,57
00021.jpg,17,156,695,375,Chrysler,13,Chrysler 300 SRT-8 2010,79
00022.jpg,212,538,1893,1131,BMW,14,BMW M6 Convertible 2010,36
00023.jpg,11,28,476,234,GMC,15,GMC Yukon Hybrid SUV 2012,120
00024.jpg,53,126,973,621,Nissan,16,Nissan Juke Hatchback 2012,170
00025.jpg,34,87,567,343,Volvo,10,Volvo 240 Sedan 1993,194
00026.jpg,30,174,598,379,Hyundai,3,Hyundai Sonata Hybrid Sedan 2012,134
00027.jpg,80,107,606,336,Suzuki,17,Suzuki SX4 Sedan 2012,184
00028.jpg,45,115,585,382,Dodge,2,Dodge Ram Pickup 3500 Crew Cab 2010,86
00029.jpg,28,139,1564,1126,Spyker,18,Spyker C8 Coupe 2009,180
00030.jpg,82,109,874,521,Volvo,10,Volvo 240 Sedan 1993,194
00031.jpg,55,318,446,564,Land,19,Land Rover Range Rover SUV 2012,154
00032.jpg,12,31,471,350,Hyundai,3,Hyundai Elantra Touring Hatchback 2012,139
00033.jpg,34,197,1011,656,Chevrolet,7,Chevrolet Cobalt SS 2010,66
00034.jpg,37,63,614,397,Hyundai,3,Hyundai Veracruz SUV 2012,133
00035.jpg,223,87,1111,670,Land,19,Land Rover Range Rover SUV 2012,154
00036.jpg,138,41,521,223,Ferrari,20,Ferrari 458 Italia Coupe 2012,104
00037.jpg,31,87,616,344,BMW,14,BMW Z4 Convertible 2012,38
00038.jpg,16,89,459,326,Dodge,2,Dodge Charger SRT-8 2009,97
00039.jpg,53,113,614,350,Fisker,21,Fisker Karma Sedan 2012,105
00040.jpg,214,110,660,403,Infiniti,22,Infiniti QX56 SUV 2011,142
00041.jpg,61,55,566,408,Audi,0,Audi A5 Coupe 2012,13
00042.jpg,28,61,622,371,Volkswagen,12,Volkswagen Golf Hatchback 1991,191
