track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,stream_class
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2.0,2023.0,7.0,14.0,553.0,147.0,141381703.0,43.0,263.0,45.0,10.0,826.0,125.0,B,Major,80.0,89.0,83.0,31.0,0.0,8.0,4.0,Low
LALA,Myke Towers,1.0,2023.0,3.0,23.0,1474.0,48.0,133716286.0,48.0,126.0,58.0,14.0,382.0,92.0,C#,Major,71.0,61.0,74.0,7.0,0.0,10.0,4.0,Low
vampire,Olivia Rodrigo,1.0,2023.0,6.0,30.0,1397.0,113.0,140003974.0,94.0,207.0,91.0,14.0,949.0,138.0,F,Major,51.0,32.0,53.0,17.0,0.0,31.0,6.0,Low
Cruel Summer,Taylor Swift,1.0,2019.0,8.0,23.0,7858.0,100.0,800840817.0,116.0,207.0,125.0,12.0,548.0,170.0,A,Major,55.0,58.0,72.0,11.0,0.0,11.0,15.0,High
WHERE SHE GOES,Bad Bunny,1.0,2023.0,5.0,18.0,3133.0,50.0,303236322.0,84.0,133.0,87.0,15.0,425.0,144.0,A,Minor,65.0,23.0,80.0,14.0,63.0,11.0,6.0,Average
Sprinter,"Dave, Central Cee",2.0,2023.0,6.0,1.0,2186.0,91.0,183706234.0,67.0,213.0,88.0,17.0,946.0,141.0,C#,Major,92.0,66.0,58.0,19.0,0.0,8.0,24.0,Low
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2.0,2023.0,3.0,16.0,3090.0,50.0,725980112.0,34.0,222.0,43.0,13.0,418.0,148.0,F,Minor,67.0,83.0,76.0,48.0,0.0,8.0,3.0,High
Columbia,Quevedo,1.0,2023.0,7.0,7.0,714.0,43.0,58149378.0,25.0,89.0,30.0,13.0,194.0,100.0,F,Major,67.0,26.0,71.0,37.0,0.0,11.0,4.0,Low
fukumean,Gunna,1.0,2023.0,5.0,15.0,1096.0,83.0,95217315.0,60.0,210.0,48.0,11.0,953.0,130.0,C#,Minor,85.0,22.0,62.0,12.0,0.0,28.0,9.0,Low
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2.0,2023.0,3.0,17.0,2953.0,44.0,553634067.0,49.0,110.0,66.0,13.0,339.0,170.0,D,Minor,81.0,56.0,48.0,21.0,0.0,8.0,33.0,Average
un x100to,"Bad Bunny, Grupo Frontera",2.0,2023.0,4.0,17.0,2876.0,40.0,505671438.0,41.0,205.0,54.0,12.0,251.0,83.0,F#,Minor,57.0,56.0,72.0,23.0,0.0,27.0,5.0,Average
Super Shy,NewJeans,1.0,2023.0,7.0,7.0,422.0,55.0,58255150.0,37.0,202.0,21.0,5.0,168.0,150.0,F,Minor,78.0,52.0,82.0,18.0,0.0,15.0,7.0,Low
Flowers,Miley Cyrus,1.0,2023.0,1.0,12.0,12211.0,115.0,1316855716.0,300.0,215.0,745.0,58.0,1021.0,118.0,nan,Major,71.0,65.0,68.0,6.0,0.0,3.0,7.0,High
Daylight,David Kushner,1.0,2023.0,4.0,14.0,3528.0,98.0,387570742.0,80.0,156.0,182.0,24.0,1281.0,130.0,D,Minor,51.0,32.0,43.0,83.0,0.0,9.0,3.0,Average
Kill Bill,SZA,1.0,2022.0,12.0,8.0,8109.0,77.0,1163093654.0,183.0,162.0,161.0,12.0,187.0,89.0,G#,Major,64.0,43.0,73.0,5.0,17.0,16.0,4.0,High
Cupid - Twin Ver.,Fifty Fifty,1.0,2023.0,2.0,24.0,2942.0,77.0,496795686.0,91.0,212.0,78.0,6.0,0.0,120.0,B,Minor,78.0,76.0,59.0,43.0,0.0,34.0,3.0,Average
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1.0,2023.0,7.0,13.0,873.0,104.0,30546883.0,80.0,227.0,95.0,24.0,1173.0,78.0,nan,Major,44.0,14.0,9.0,96.0,0.0,10.0,3.0,Low
Classy 101,"Feid, Young Miko",2.0,2023.0,3.0,31.0,2610.0,40.0,335222234.0,43.0,100.0,54.0,14.0,187.0,100.0,B,Major,86.0,67.0,66.0,14.0,0.0,12.0,16.0,Average
Like Crazy,Jimin,1.0,2023.0,3.0,24.0,596.0,68.0,363369738.0,8.0,104.0,23.0,2.0,29.0,120.0,G,Major,63.0,36.0,73.0,0.0,0.0,36.0,4.0,Average
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3.0,2023.0,6.0,22.0,332.0,26.0,86444842.0,11.0,163.0,10.0,4.0,0.0,140.0,F,Minor,65.0,87.0,74.0,22.0,0.0,42.0,4.0,Low
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1.0,2023.0,7.0,7.0,516.0,38.0,52135248.0,73.0,119.0,42.0,1.0,150.0,123.0,F#,Major,69.0,82.0,76.0,6.0,0.0,6.0,3.0,Low
I Wanna Be Yours,Arctic Monkeys,1.0,2013.0,1.0,1.0,12859.0,110.0,1297026226.0,24.0,98.0,582.0,2.0,73.0,135.0,nan,Minor,48.0,44.0,42.0,12.0,2.0,11.0,3.0,High
